dependency,count
top.tangyh.lamp:lamp-msg-entity,2
org.restcomm.commons:restcomm-statistics,1
de.adorsys.psd2:cms-payment-mapper,1
io.vertx:vertx-dropwizard-metrics,1
com.bergerkiller.bukkit:BKCommonLib,2
org.apache.xmlgraphics:batik-parser,5
com.cxytiandi:kitty-db-sharding-jdbc,1
org.apache.tomcat:tomcat-catalina-ha,1
org.apache.tomee:openejb-itests-app,1
org.apache.yoko:yoko-spec-corba,1
com.github.ua-parser:uap-java,4
maven-test:t10-c,1
com.microsoft.bot:bot-integration-core,1
org.mengyun:tcc-transaction-sample-common,1
com.englishtown.vertx:vertx-guice,1
org.openecard.clients:richclient,1
org.openecard.ifd:ifd-core,1
com.linkedin.sensei:sensei-java-client,1
org.sonarsource.java:java-checks-testkit,1
cn.iocoder.boot:yudao-common,1
com.azure.resourcemanager:azure-resourcemanager-containerservice,1
com.github.siom79.japicmp:japicmp,2
org.springframework.cloud:spring-cloud-dataflow-autoconfigure,1
com.nisovin.shopkeepers:ShopkeepersAPI,1
org.eclipse.jetty.toolchain.setuid:jetty-setuid-java,1
org.apache.karaf.examples:karaf-blueprint-example-client,1
one.microstream:microstream-configuration,1
org.openhab.addons.bundles:org.openhab.binding.amazonechocontrol,1
org.openhab.addons.bundles:org.openhab.binding.bluetooth.govee,1
org.openhab.addons.bundles:org.openhab.binding.solaredge,1
ddf.platform:platform-session-invalidator-api,1
org.codice.thirdparty:lucene-core,1
io.fabric8:fabric8-maven-plugin-enricher-api,1
com.hortonworks.streamline:streamline-metrics,1
org.metawidget.modules.struts:metawidget-strutsannotation,1
br.net.fabiozumbi12.RedProtect:RedProtect-Core,2
de.themoep.utils:lang-bukkit,1
org.jvnet.hudson.main:hudson-war,1
org.apache.stratos:org.apache.stratos.integration.common,1
org.apache.shenyu:shenyu-plugin-websocket,1
org.thingsboard.common.transport:snmp,1
org.apache.camel:camel-cxf,4
org.apache.cxf:cxf-rt-rs-service-description-openapi-v3,2
io.onedev:server-plugin-report-clover,1
com.atilika.kuromoji:kuromoji-naist-jdic,1
com.github.cbismuth:junit-repeat-rule,1
org.openrdf.sesame:sesame-repository-http,1
io.github.openfeign:feign-jaxb,2
org.gephi:appearance-api,1
org.gephi:desktop-project,1
net.sf.okapi.filters:okapi-filter-regex,1
com.impetus.kundera.client:kundera-cassandra-pelops,1
org.forgerock.openam:openam-auth-windowsdesktopsso,1
