groupId,artifactId
io.cloudevents,cloudevents-http-basic
io.awspring.cloud,spring-cloud-aws-messaging
org.nuxeo.web.ui,nuxeo-web-ui-itests
com.squareup.okhttp3,okhttp
org.talend.esb.examples.locator.service,locator-soap-example-war
com.github.Archy-X,AureliumSkills
org.apache.karaf.specs,org.apache.karaf.specs.activator
net.sf.biweekly,biweekly
org.apache.camel.quarkus,camel-quarkus-stitch
org.apache.archiva.redback,redback-authorization-api
ru.ydn.wicket.wicket-console,wicket-console
org.apache.camel.quarkus,camel-quarkus-tarfile-deployment
org.owasp.test.aggregate.issue-2494,sibling2
org.apache.camel.quarkus,camel-quarkus-protobuf
org.python,jython-slim
ws.schild,jave-nativebin-osx64
io.quarkus,quarkus-hibernate-reactive-panache-deployment
org.spf4j,spf4j-core
org.nuxeo.ecm.platform,nuxeo-platform-content-template-manager
org.flowable,flowable-task-service-api
com.twelvemonkeys.imageio,imageio-pict
org.mengyun,tcc-transaction-core
com.graphql-java-kickstart,graphiql-spring-boot-starter
org.zeromq,curve25519-java
org.apache.directory.server,apacheds-jdbm
org.rhq,rhq-remoting-client-api
org.gridgain,gridgain-rest-http
org.beanshell,bsh
org.openrdf.sesame,sesame-sail-nativerdf
com.oracle.oci.sdk,oci-java-sdk-apmtraces
com.qubole.rubix,rubix-prestosql
io.quarkus,quarkus-mongodb-rest-data-panache-deployment
com.github.qiujiayu,autoload-cache-manager-redis
org.apache.linkis,linkis-engineconn-plugin-cache
org.glassfish.docs,application-development-guide
org.netpreserve.openwayback,openwayback-access-control-core
io.cattle,cattle-iaas-healthcheck
org.apache.usergrid.chop,chop-amazon
sia,tacocloud-api
org.apache.camel.quarkus,camel-quarkus-djl-deployment
com.thinkbiganalytics.kylo,kylo-feed-manager-service-api
org.apache.sshd,sshd-contrib
org.eclipse.jetty.http2,http2-hpack
com.microsoft.azure,azure-toolkit-common-lib
org.talend.esb.examples.ebook,ebook-importer
org.apache.karaf,org.apache.karaf.main
org.netbeans.modules,org-openide-util-ui-svg
org.noear,nami
org.camunda.bpm.qa.upgrade,camunda-qa-upgrade-scenario-util
org.codice.ddf,geospatial
info.cukes,gherkin
com.codenvy.plugin,codenvy-plugin-bitbucket-configuration
org.glassfish.metro,webservices-extra-jdk-packages
org.mule.runtime,mule-module-logging
org.glassfish,javax.el
com.github.dianbaer,threadwebsocket
wsattacker.library,Intelligent_Denial_of_Service_Library
org.gephi,desktop-timeline
org.webjars,bpmn-js
org.apache.camel,camel-script
com.badlogicgames.gdx,gdx-platform
com.cxytiandi,kitty-spring-cloud-starter-rocketmq-aliyun
eu.amidst,sparklink
com.pneumaticraft.commandhandler,CommandHandler
com.arakelian,java-jq
org.springframework.cloud,spring-cloud-gcp-starter-bus-pubsub
com.sparsity,sparkseejava
org.apache.maven.mercury,mercury-repo-virtual
org.apache.shenyu,shenyu-spring-boot-starter-plugin-websocket
org.teavm,teavm-jps-plugin
sun.plugin,plugin
com.squareup.okhttp3,logging-interceptor
org.apache.aries.spifly,org.apache.aries.spifly.static.bundle
com.alibaba.otter,connector.rocketmq
org.apache.cayenne,cayenne-server
com.walmartlabs.concord.plugins.basic,slack-tasks
org.eclipse.rdf4j,rdf4j-rio-trix
io.rsocket.broker,rsocket-broker-spring
org.apache.camel.quarkus,camel-quarkus-jackson-protobuf-deployment
io.hops,hadoop-cloud-storage
com.taobao.pamirs.schedule,tbschedule
org.apache.camel.quarkus,camel-quarkus-olingo4
javax,javaee-api
org.opencastproject,opencast-asset-manager-impl
org.archive.heritrix,heritrix-modules
org.xwiki.platform,xwiki-platform-extension-handler-xar
org.apache.commons,commons-io
com.qubole.rubix,rubix-core
com.google.code.gwt-dnd,gwt-dnd
com.webank.wedatasphere.linkis,linkis-hadoop-common
com.thinkbiganalytics.kylo,kylo-ui-app
org.kie.kogito,kogito-api-incubation-predictions
com.blazegraph,dsi-utils
org.eclipse.ditto,ditto-things-api
de.agilecoders.wicket,wicket-bootstrap-themes
de.ruedigermoeller,kontraktor-web
com.noseparte,famous-common
com.sshtools,j2ssh-core
io.pebbletemplates,pebble-spring4
io.lumify,lumify-gpw-audio-mp4-encoder
org.bytedeco,openblas-platform
io.pebbletemplates,pebble-spring5
org.sonatype.nexus,nexus-guice-servlet
org.eclipse.hono,hono-service-base
org.apache.shenyu,shenyu-spring-boot-starter-plugin-uri
org.apache.plc4x,plc4j-transport-raw-socket
io.hawt,hawtio-plugin-mbean
com.github.jinahya,bit-io
com.thinkbiganalytics.kylo,kylo-ui-api
org.apache.maven,maven-mercury
com.marswork,marswork-core
org.apache.jclouds.provider,aws-s3
cc.mrbird,febs-common-doc-starter
org.apache.shenyu,shenyu-register-client-http
org.flowable,flowable-idm-engine
com.sun.japex,japex
io.quarkus.arc,arc-processor
org.camunda.spin,camunda-spin-core
com.alibaba.otter,node.etl
site.ycsb,maprjsondb-binding
com.sun.jsftemplating,jsftemplating
org.netbeans.api,org-netbeans-core-multiview
com.twelvemonkeys.swing,swing-core
org.openhab.addons.bundles,org.openhab.binding.resol
io.github.sevdokimov.logviewer,log-viewer-frontend
com.indeed,imhotep-archive
org.restlet.dev,org.restlet.ext.oauth
org.glassfish.fighterfish,osgi-web-container
org.nutz,nutzboot-starter-zbus
cloud.piranha.extension,piranha-extension-security-jakarta
com.qcadoo.mes,mes-plugins-advanced-genealogy
org.gephi,desktop-preview
org.lwjgl.lwjgl,lwjgl_util
ddf.security.servlet,security-servlet-whoami
tigase,tigase-xmltools
org.jobrunr,jobrunr
org.kohsuke.stapler,json-lib
org.nuxeo.ecm.platform,nuxeo-platform-login-deputy
fm.last,coverartarchive-api
com.hortonworks.streamline,streamline-cluster
com.github.rub-nds,WS-Attacker-Library_Signature_Wrapping
com.sun.xsom,xsom
org.eclipse.jetty,jetty-slf4j-impl
org.springframework.osgi,spring-osgi-core
org.fluentlenium.it,testng-common
edu.berkeley.nlp,berkeleylm
org.jboss.narayana.xts,localjunit-crash-recovery-tests
org.pentaho.di.plugins,pdi-pur-plugin-core
org.nutz,nutzboot-starter-email
com.walmartlabs.concord,concord-sdk
org.jboss.narayana.rts,lra-client
javax.persistence,javax.persistence-api
io.airlift,units
org.cognitor.cassandra,cassandra-migration
ddf.catalog.core,catalog-core-standardframework
org.jboss.logging,jboss-logging
org.powermock,powermock-api-mockito
org.apache.karaf.features,org.apache.karaf.features.core
com.github.TownyAdvanced,Towny
javax.xml.rpc,javax.xml.rpc-api
com.speedment.jpastreamer,autoclose-standard
org.apache.camel.quarkus,camel-quarkus-ldif
com.hierynomus,smbj
com.entwinemedia.common,functional
com.consol.citrus,citrus-junit5
org.sonatype.goodies,goodies-httpfixture
com.thinkbiganalytics.kylo,kylo-commons-scala-api
org.xwiki.platform,xwiki-platform-extension-distribution
com.spotify,apollo-environment
com.addthis.hydra,hydra-avro
org.glassfish.hk2,guice-bridge
org.apache.doris,doris-spark
org.apache.syncope.common.keymaster.self,syncope-common-keymaster-self-rest-api
org.glassfish.pfl,pfl-dynamic
com.webank.wedatasphere.dss,dss-framework-orchestrator-publish
org.wso2.carbon.extension.identity.authenticator.outbound.twitter,org.wso2.carbon.extension.identity.authenticator.twitter.connector
io.smallrye,smallrye-fault-tolerance-context-propagation
org.codehaus.geb,geb-core
com.trendmicro,tlsh
io.fastjson,slumberdb-service-model-common
org.neo4j,neo4j-cypher-javacc-parser
com.jcabi,jcabi-log
org.deephacks.lmdbjni,lmdbjni-win64
org.nuxeo.ecm.platform,nuxeo-platform-rendition-core
org.openhab.addons.bundles,org.openhab.binding.homeconnect
org.sejda,sejda-sambox
com.oracle.bedrock.coherence,coherence-14.1.1-testing-support
com.adobe.testing,s3mock
org.codehaus.cargo,cargo-core-api-util
org.apache.dubbo,dubbo-samples-chain-middle
com.teamdev.jxbrowser,jxbrowser-win64
org.testingisdocumenting.webtau,webtau-pdf
org.apache.activemq,artemis-core-client
cn.iocoder.mall,mall-spring-boot-starter-rocketmq
me.zhyd.hunter,blog-hunter
cn.org.easysite,easy-spring-cloud-feign
com.atilika.kuromoji,kuromoji-jumandic
cn.org.easysite,easy-spring-boot-tk-mybatis
org.apache.camel.quarkus,camel-quarkus-google-bigquery-deployment
net.sourceforge.cpdetector,cpdetector
com.sun.org.apache.xml.internal,resolver
io.github.yedaxia,japidocs
org.apache.nifi,nifi-distributed-cache-client-service-api
org.apache.falcon,falcon-common
net.serenity-bdd,serenity-cucumber
org.pentaho,pentaho-metadata
org.wicketstuff,quickview
org.kohsuke,geoip
it.eng.knowage,qbe-core
org.apache.servicecomb,service-center-client
org.glassfish.docs,quick-start-guide
jakarta.json.bind,jakarta.json.bind-api
test,transitive
org.apache.cxf,cxf-rt-rs-service-description
org.jitsi,jitsi-utils
io.fabric8.funktion,k8elasticsearch
org.simpleflatmapper,sfm-test
com.sequoiadb,sequoiadb-driver
com.github.lalyos,jfiglet
org.apache.karaf.bundle,org.apache.karaf.bundle.core
org.springframework,spring-websocket
io.quarkus,quarkus-bootstrap-runner
org.apache.sling,org.apache.sling.testing.resourceresolver-mock
org.glassfish.main.appclient,acc-config
org.xwiki.platform,xwiki-platform-localization-rest-api
org.pentaho.di.plugins,pdi-xml-input-stream-plugin-core
org.wso2.carbon.identity.datapublisher.authentication,org.wso2.carbon.identity.data.publisher.application.authentication.server.feature
fr.opensagres.xdocreport,fr.opensagres.xdocreport.itext.extension
org.jvnet.hudson.main,hudson-cli
org.nuxeo.ecm.platform,nuxeo-platform-video-convert
io.micronaut,micronaut-inject-java-test
com.github.dianbaer,tcp
uk.ac.bbsrc.tgac.miso,sqlstore
com.sun.mail,dsn
org.jenkins-ci.modules,instance-identity
org.snmp4j,snmp4j
io.quarkus,quarkus-test-security
org.mayocat.shop,mayocat-shop-payment-vendor-paypal-adaptivepayments
ddf.platform,platform-configuration-service
io.onedev,server-plugin-report-junit
com.qlangtech.tis,ibator
com.sun.xml,relaxngDatatype
org.jenkins-ci.plugins,docker-workflow
org.radargun,plugin-ehcache25
org.camunda.spin,camunda-spin-dataformat-all
de.tudarmstadt.ukp.wikipedia,de.tudarmstadt.ukp.wikipedia.parser
org.apache.openejb.itests,failover-ejb
org.pentaho.reporting.engine,wizard-core
io.quarkus,quarkus-reactive-db2-client-deployment
com.jgoodies,jgoodies-looks
com.facebook.presto.hadoop,hadoop-apache2
com.vmware.nsx,nsx-vmc-sdk-common
org.openecard.addons,tr03112
org.codice.ddf.metrics,metrics-prometheus-endpoint
io.dropwizard-bundles,dropwizard-configurable-assets-bundle
